addr,coordinates,distance_to_mrt
250 BT BATOK EAST AVE 5 SINGAPORE,"(1.3510145, 103.7569391)",0.848608315379
241 BT BATOK EAST AVE 5 SINGAPORE,"(1.3509629, 103.7545774)",0.596866916573
177 BT BATOK WEST AVE 8 SINGAPORE,"(1.3463491, 103.7416333)",0.931082776657
258 BT BATOK EAST AVE 4 SINGAPORE,"(1.3513041, 103.7589225)",1.07021325091
345 BT BATOK ST 34 SINGAPORE,"(1.3628539, 103.750866)",0.482798133618
263 BT BATOK EAST AVE 4 SINGAPORE,"(1.3502042, 103.7591036)",1.06810757898
217 BT BATOK ST 21 SINGAPORE,"(1.3467874, 103.7545774)",0.610461967134
340 BT BATOK ST 34 SINGAPORE,"(1.3631549, 103.7495082)",0.565341595804
235 BT BATOK EAST AVE 5 SINGAPORE,"(1.3485548, 103.7561389)",0.732527134504
139 BT BATOK WEST AVE 6 SINGAPORE,"(1.3512427, 103.7441677)",0.648482719151
534 BT BATOK ST 51 SINGAPORE,"(1.3559677, 103.7505944)",0.322676000847
230 BT BATOK EAST AVE 3 SINGAPORE,"(1.3477932, 103.7548263)",0.600733147361
219 BT BATOK ST 21 SINGAPORE,"(1.3472243, 103.75503)",0.639789689793
212 BT BATOK ST 21 SINGAPORE,"(1.3471677, 103.7521333)",0.352804209379
343 BT BATOK ST 34 SINGAPORE,"(1.3624242, 103.7491461)",0.515914145378
540 BT BATOK ST 52 SINGAPORE,"(1.3544255, 103.7512281)",0.469657886571
537 BT BATOK ST 52 SINGAPORE,"(1.3551602, 103.750866)",0.397311162645
213 BT BATOK ST 21 SINGAPORE,"(1.3467994, 103.7524954)",0.409555012885
513 BT BATOK ST 52 SINGAPORE,"(1.3541267, 103.7522238)",0.501013477184
348 BT BATOK ST 34 SINGAPORE,"(1.3621226, 103.7505944)",0.412441996565
310 BT BATOK ST 32 SINGAPORE,"(1.3595859, 103.7489425)",0.334660879325
331 BT BATOK ST 33 SINGAPORE,"(1.3636062, 103.7475168)",0.730880091416
408 BT BATOK WEST AVE 4 SINGAPORE,"(1.3647934, 103.7449823)",1.02242370243
370 BT BATOK ST 31 SINGAPORE,"(1.3600039, 103.7495082)",0.297253837094
329 BT BATOK ST 33 SINGAPORE,"(1.363312, 103.7476978)",0.692967925744
337 BT BATOK ST 34 SINGAPORE,"(1.363158, 103.7489651)",0.595184167074
369 BT BATOK ST 31 SINGAPORE,"(1.3599955, 103.7509565)",0.179677196866
182 BT BATOK WEST AVE 8 SINGAPORE,"(1.345623, 103.7439186)",0.733547635351
308 BT BATOK ST 31 SINGAPORE,"(1.3585281, 103.7481278)",0.407310678461
234 BT BATOK EAST AVE 5 SINGAPORE,"(1.3492733, 103.7553921)",0.648114199131
368 BT BATOK ST 31 SINGAPORE,"(1.3603651, 103.7504134)",0.247923865852
242 BT BATOK EAST AVE 5 SINGAPORE,"(1.3507363, 103.7557542)",0.713387804101
